
活动连接

  协议  本地地址          外部地址        状态           PID
  UDP    0.0.0.0:5050           *:*                                    6996
  UDP    0.0.0.0:5353           *:*                                    20336
  UDP    0.0.0.0:5353           *:*                                    20964
  UDP    0.0.0.0:5353           *:*                                    20336
  UDP    0.0.0.0:5353           *:*                                    11692
  UDP    0.0.0.0:5353           *:*                                    24988
  UDP    0.0.0.0:5353           *:*                                    11692
  UDP    0.0.0.0:5353           *:*                                    20964
  UDP    0.0.0.0:5353           *:*                                    24988
  UDP    0.0.0.0:5353           *:*                                    24988
  UDP    0.0.0.0:5353           *:*                                    24988
  UDP    0.0.0.0:5353           *:*                                    4640
  UDP    0.0.0.0:5353           *:*                                    20964
  UDP    0.0.0.0:5353           *:*                                    20336
  UDP    0.0.0.0:5353           *:*                                    20964
  UDP    0.0.0.0:5353           *:*                                    11692
  UDP    0.0.0.0:5353           *:*                                    20336
  UDP    0.0.0.0:5353           *:*                                    11692
  UDP    0.0.0.0:5355           *:*                                    4640
  UDP    0.0.0.0:27036          *:*                                    21476
  UDP    0.0.0.0:55929          *:*                                    3752
  UDP    0.0.0.0:55930          *:*                                    3752
  UDP    0.0.0.0:62405          *:*                                    15900
  UDP    0.0.0.0:62406          *:*                                    15900
  UDP    127.0.0.1:1900         *:*                                    13088
  UDP    127.0.0.1:49664        *:*                                    5592
  UDP    127.0.0.1:63365        *:*                                    13088
  UDP    172.20.32.1:137        *:*                                    4
  UDP    172.20.32.1:138        *:*                                    4
  UDP    172.20.32.1:1900       *:*                                    13088
  UDP    172.20.32.1:2177       *:*                                    35572
  UDP    172.20.32.1:27036      *:*                                    21476
  UDP    172.20.32.1:63363      *:*                                    13088
  UDP    172.21.83.116:137      *:*                                    4
  UDP    172.21.83.116:138      *:*                                    4
  UDP    172.21.83.116:1900     *:*                                    13088
  UDP    172.21.83.116:2177     *:*                                    35572
  UDP    172.21.83.116:27036    *:*                                    21476
  UDP    172.21.83.116:63364    *:*                                    13088
  UDP    [::]:123               *:*                                    37992
  UDP    [::]:5353              *:*                                    11692
  UDP    [::]:5353              *:*                                    20336
  UDP    [::]:5353              *:*                                    4640
  UDP    [::]:5353              *:*                                    20964
  UDP    [::]:5353              *:*                                    20336
  UDP    [::]:5353              *:*                                    24988
  UDP    [::]:5353              *:*                                    24988
  UDP    [::]:5353              *:*                                    20964
  UDP    [::]:5353              *:*                                    11692
  UDP    [::]:5355              *:*                                    4640
  UDP    [::]:27036             *:*                                    21476
  UDP    [::]:55931             *:*                                    3752
  UDP    [::]:62405             *:*                                    15900
  UDP    [::]:62406             *:*                                    15900
  UDP    [::1]:1900             *:*                                    13088
  UDP    [::1]:63362            *:*                                    13088
  UDP    [2403:ac00:b101:fcc:96d8:3479:3231:467f]:2177  *:*                                    35572
  UDP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:2177  *:*                                    35572
  UDP    [fe80::a73:612d:fd5c:a828%10]:1900  *:*                                    13088
  UDP    [fe80::a73:612d:fd5c:a828%10]:2177  *:*                                    35572
  UDP    [fe80::a73:612d:fd5c:a828%10]:63361  *:*                                    13088
  UDP    [fe80::9f56:43b1:49b1:a7f1%43]:1900  *:*                                    13088
  UDP    [fe80::9f56:43b1:49b1:a7f1%43]:2177  *:*                                    35572
  UDP    [fe80::9f56:43b1:49b1:a7f1%43]:63360  *:*                                    13088
